Colorado Natural Gas Underground Storage Volume
https://www.eia.gov/dnav/ng/hist/n5030co2m.htm
21:05:41 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Colorado Natural Gas Underground Storage Volume  Million Cubic Feet
May 2010,64840
Apr 2010,63088
Mar 2010,67404
Feb 2010,73413
Jan 2010,78416
Dec 2009,86993
Nov 2009,93498
Oct 2009,91966
Sep 2009,88862
Aug 2009,84010
Jul 2009,76959
Jun 2009,69601
May 2009,66205
Apr 2009,64500
Mar 2009,68709
Feb 2009,73119
Jan 2009,76008
Dec 2008,80055
Nov 2008,84131
Oct 2008,85407
Sep 2008,82710
Aug 2008,76788
Jul 2008,71803
Jun 2008,67413
May 2008,64403
Apr 2008,63075
Mar 2008,66485
Feb 2008,71580
Jan 2008,73264
Dec 2007,77931
Nov 2007,82216
Oct 2007,85666
Sep 2007,83845
Aug 2007,80453
Jul 2007,73864
Jun 2007,69646
May 2007,66208
Apr 2007,64252
Mar 2007,69356
Feb 2007,69013
Jan 2007,70819
Dec 2006,78801
Nov 2006,83267
Oct 2006,83385
Sep 2006,83415
Aug 2006,79654
Jul 2006,74653
Jun 2006,70379
May 2006,66967
Apr 2006,66234
Mar 2006,69631
Feb 2006,72217
Jan 2006,79883
Dec 2005,80773
Nov 2005,85005
Oct 2005,85167
Sep 2005,81498
Aug 2005,76194
Jul 2005,71551
Jun 2005,67853
May 2005,64482
Apr 2005,61353
Mar 2005,67041
Feb 2005,72832
Jan 2005,76884
Dec 2004,81572
Nov 2004,84709
Oct 2004,86732
Sep 2004,84112
Aug 2004,79113
Jul 2004,71660
Jun 2004,67269
May 2004,63835
Apr 2004,64137
Mar 2004,72758
Feb 2004,73164
Jan 2004,77862
Dec 2003,81350
Nov 2003,83282
Oct 2003,85104
Sep 2003,82022
Aug 2003,77814
Jul 2003,71695
Jun 2003,68266
May 2003,63582
Apr 2003,64220
Mar 2003,64954
Feb 2003,69739
Jan 2003,77989
Dec 2002,82219
Nov 2002,84324
Oct 2002,84363
Sep 2002,85223
Aug 2002,81213
Jul 2002,74552
Jun 2002,70604
May 2002,67314
Apr 2002,68014
Mar 2002,65793
Feb 2002,71559
Jan 2002,78741
Dec 2001,83632
Nov 2001,85157
Oct 2001,85091
Sep 2001,85847
Aug 2001,80734
Jul 2001,76035
Jun 2001,71853
May 2001,67784
Apr 2001,65526
Mar 2001,66186
Feb 2001,67973
Jan 2001,72347
Dec 2000,76741
Nov 2000,81594
Oct 2000,85578
Sep 2000,83628
Aug 2000,81438
Jul 2000,76652
Jun 2000,72028
May 2000,67417
Apr 2000,66785
Mar 2000,68167
Feb 2000,74753
Jan 2000,78107
Dec 1999,84304
Nov 1999,89406
Oct 1999,88532
Sep 1999,86113
Aug 1999,81240
Jul 1999,75804
Jun 1999,69062
May 1999,63585
Apr 1999,63279
Mar 1999,72160
Feb 1999,75420
Jan 1999,79098
Dec 1998,83089
Nov 1998,90505
Oct 1998,88658
Sep 1998,86697
Aug 1998,80786
Jul 1998,74943
Jun 1998,70929
May 1998,66977
Apr 1998,61029
Mar 1998,64641
Feb 1998,68386
Jan 1998,72497
Dec 1997,77520
Nov 1997,82144
Oct 1997,85421
Sep 1997,85879
Aug 1997,80739
Jul 1997,76250
Jun 1997,70711
May 1997,65454
Apr 1997,60125
Mar 1997,65695
Feb 1997,67763
Jan 1997,72625
Dec 1996,78148
Nov 1996,81147
Oct 1996,81277
Sep 1996,81241
Aug 1996,77441
Jul 1996,73761
Jun 1996,68622
May 1996,63332
Apr 1996,60985
Mar 1996,62293
Feb 1996,67398
Jan 1996,68777
Dec 1995,77475
Nov 1995,82831
Oct 1995,81357
Sep 1995,80150
Aug 1995,77326
Jul 1995,73047
Jun 1995,70945
May 1995,62142
Apr 1995,59852
Mar 1995,64567
Feb 1995,69545
Jan 1995,73047
Dec 1994,77356
Nov 1994,80736
Oct 1994,82347
Sep 1994,82093
Aug 1994,76943
Jul 1994,71639
Jun 1994,67050
May 1994,65538
Apr 1994,60034
Mar 1994,65147
Feb 1994,67880
Jan 1994,72798
Dec 1993,78303
Nov 1993,79475
Oct 1993,81981
Sep 1993,81457
Aug 1993,77155
Jul 1993,73322
Jun 1993,70157
May 1993,65511
Apr 1993,62799
Mar 1993,66224
Feb 1993,68733
Jan 1993,73838
Dec 1992,78303
Nov 1992,81041
Oct 1992,84134
Sep 1992,82007
Aug 1992,76095
Jul 1992,69830
Jun 1992,65682
May 1992,63685
Apr 1992,64030
Mar 1992,68199
Feb 1992,74888
Jan 1992,78319
Dec 1991,82145
Nov 1991,83134
Oct 1991,82065
Sep 1991,80506
Aug 1991,75800
Jul 1991,70705
Jun 1991,66425
May 1991,62448
Apr 1991,61367
Mar 1991,62807
Feb 1991,69768
Jan 1991,71524
Dec 1990,80053
Oct 1990,74259
Sep 1990,73035
Aug 1990,68028
Jul 1990,62829
Jun 1990,56614
May 1990,52375
Apr 1990,52684
Mar 1990,56567
Feb 1990,61757
Jan 1990,66554
