Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado
https://www.eia.gov/dnav/ng/hist/n3020co2m.htm
15:28:47 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Month,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Colorado  Million Cubic Feet
Dec 2013,9566
Nov 2013,6191
Oct 2013,3603
Sep 2013,1727
Aug 2013,1429
Jul 2013,1455
Jun 2013,2057
May 2013,3070
Apr 2013,5297
Mar 2013,6850
Feb 2013,8081
Jan 2013,9461
Dec 2012,8758
Nov 2012,5650
Oct 2012,3699
Sep 2012,1805
Aug 2012,1473
Jul 2012,1357
Jun 2012,1681
May 2012,1960
Apr 2012,3049
Mar 2012,5809
Feb 2012,8003
Jan 2012,8551
Dec 2011,9869
Nov 2011,6111
Oct 2011,3407
Sep 2011,1611
Aug 2011,1396
Jul 2011,1445
Jun 2011,1644
May 2011,2756
Apr 2011,3997
Mar 2011,6519
Feb 2011,8105
Jan 2011,8983
Dec 2010,7923
Nov 2010,6905
Oct 2010,3156
Sep 2010,1718
Aug 2010,1765
Jul 2010,1566
Jun 2010,1633
May 2010,3175
Apr 2010,4653
Mar 2010,6772
Feb 2010,8736
Jan 2010,9656
Dec 2009,11519
Nov 2009,6479
Oct 2009,4834
Sep 2009,2098
Aug 2009,1849
Jul 2009,1831
Jun 2009,2248
May 2009,3162
Apr 2009,5479
Mar 2009,5708
Feb 2009,7623
Jan 2009,9609
Dec 2008,10419
Nov 2008,6295
Oct 2008,3808
Sep 2008,2082
Aug 2008,2212
Jul 2008,1982
Jun 2008,2168
May 2008,3488
Apr 2008,5257
Mar 2008,7803
Feb 2008,9027
Jan 2008,11265
Dec 2007,10501
Nov 2007,5940
Oct 2007,3518
Sep 2007,2062
Aug 2007,1759
Jul 2007,1754
Jun 2007,2051
May 2007,3012
Apr 2007,5079
Mar 2007,6344
Feb 2007,9051
Jan 2007,12160
Dec 2006,8414
Nov 2006,6672
Oct 2006,4056
Sep 2006,2647
Aug 2006,1882
Jul 2006,1809
Jun 2006,2015
May 2006,2952
Apr 2006,4568
Mar 2006,7887
Feb 2006,8788
Jan 2006,8162
Dec 2005,10312
Nov 2005,6099
Oct 2005,4057
Sep 2005,1990
Aug 2005,1955
Jul 2005,1742
Jun 2005,2265
May 2005,3399
Apr 2005,5618
Mar 2005,7272
Feb 2005,7725
Jan 2005,9665
Dec 2004,9222
Nov 2004,7318
Oct 2004,3691
Sep 2004,2515
Aug 2004,2214
Jul 2004,1923
Jun 2004,2201
May 2004,3122
Apr 2004,4673
Mar 2004,5996
Feb 2004,9735
Jan 2004,9347
Dec 2003,9831
Nov 2003,7212
Oct 2003,3332
Sep 2003,2746
Aug 2003,1789
Jul 2003,1847
Jun 2003,2458
May 2003,2992
Apr 2003,4780
Mar 2003,7632
Feb 2003,9425
Jan 2003,8572
Dec 2002,9580
Nov 2002,7658
Oct 2002,5279
Sep 2002,2343
Aug 2002,1832
Jul 2002,1807
Jun 2002,1819
May 2002,3209
Apr 2002,4288
Mar 2002,8502
Feb 2002,9511
Jan 2002,11111
Dec 2001,8243
Nov 2001,4204
Oct 2001,2408
Sep 2001,1854
Aug 2001,1633
Jul 2001,2071
Jun 2001,2659
May 2001,4428
Apr 2001,6436
Mar 2001,9923
Feb 2001,9309
Jan 2001,11844
Dec 2000,9864
Nov 2000,5955
Oct 2000,3529
Sep 2000,1823
Aug 2000,1761
Jul 2000,2027
Jun 2000,2537
May 2000,3411
Apr 2000,5699
Mar 2000,7202
Feb 2000,8106
Jan 2000,8959
Dec 1999,6903
Nov 1999,4375
Oct 1999,3303
Sep 1999,2274
Aug 1999,2304
Jul 1999,2278
Jun 1999,2962
May 1999,4910
Apr 1999,5513
Mar 1999,6730
Feb 1999,7795
Jan 1999,10001
Dec 1998,7432
Nov 1998,4973
Oct 1998,3321
Sep 1998,2371
Aug 1998,2166
Jul 1998,2655
Jun 1998,3087
May 1998,4320
Apr 1998,6187
Mar 1998,8262
Feb 1998,8403
Jan 1998,9954
Dec 1997,9729
Nov 1997,6176
Oct 1997,2558
Sep 1997,2371
Aug 1997,2117
Jul 1997,2354
Jun 1997,2954
May 1997,4846
Apr 1997,6433
Mar 1997,8353
Feb 1997,10199
Jan 1997,10983
Dec 1996,9028
Nov 1996,5807
Oct 1996,3306
Sep 1996,2227
Aug 1996,2156
Jul 1996,2406
Jun 1996,3052
May 1996,4424
Apr 1996,6977
Mar 1996,8873
Feb 1996,10325
Jan 1996,10333
Dec 1995,7282
Nov 1995,5703
Oct 1995,3787
Sep 1995,2210
Aug 1995,2314
Jul 1995,2634
Jun 1995,4061
May 1995,5776
Apr 1995,6413
Mar 1995,7763
Feb 1995,9146
Jan 1995,9552
Dec 1994,9064
Nov 1994,5319
