date,allGradesGasPrice,regularGasPrice,midgradeGasPrice,premiumGasPrice
03/20/2017,2.26,2.15,2.44,2.70
04/04/2005,2.23,2.19,2.30,2.40
02/18/2008,2.96,2.92,3.03,3.14
05/05/2008,3.53,3.48,3.60,3.71
02/17/2003,1.66,1.62,1.72,1.84
02/05/2007,2.13,2.09,2.20,2.29
12/20/2010,2.78,2.74,2.85,2.96
04/19/2010,2.78,2.73,2.84,2.95
10/31/2016,2.26,2.16,2.42,2.68
07/19/2004,1.96,1.92,2.03,2.13
02/11/2013,3.39,3.35,3.46,3.57
07/17/2006,2.97,2.93,3.04,3.13
05/28/2018,2.98,2.87,3.13,3.42
05/28/2012,3.76,3.72,3.84,3.95
05/30/2005,2.13,2.09,2.20,2.30
08/07/2000,1.60,1.55,1.68,1.78
07/31/2000,1.62,1.58,1.71,1.81
03/07/2011,3.37,3.33,3.44,3.55
08/13/2012,3.54,3.50,3.61,3.72
11/28/2016,2.10,1.99,2.26,2.53
08/06/2001,1.39,1.35,1.46,1.57
02/11/2019,2.07,1.96,2.23,2.54
12/23/2013,3.09,3.04,3.18,3.32
07/09/2007,3.12,3.08,3.19,3.30
07/18/2011,3.54,3.50,3.61,3.73
09/10/2012,3.66,3.62,3.73,3.84
03/12/2001,1.47,1.43,1.55,1.65
10/22/2018,2.99,2.88,3.15,3.44
02/27/2006,2.26,2.22,2.33,2.43
04/08/2013,3.64,3.59,3.72,3.84
09/26/2005,2.91,2.87,2.97,3.07
04/29/2002,1.44,1.40,1.51,1.62
12/09/2013,3.11,3.05,3.20,3.34
05/16/2016,2.23,2.13,2.39,2.64
03/30/2009,2.02,1.98,2.09,2.20
02/23/2004,1.61,1.57,1.68,1.78
10/15/2018,3.02,2.92,3.18,3.47
06/25/2001,1.70,1.66,1.78,1.89
02/23/2009,1.87,1.83,1.94,2.04
11/20/2006,2.19,2.15,2.25,2.35
04/06/2015,2.28,2.21,2.39,2.56
12/15/2008,1.64,1.60,1.71,1.82
11/04/2013,3.29,3.24,3.38,3.52
01/24/2005,1.82,1.78,1.88,1.99
05/25/2015,2.66,2.58,2.77,2.95
01/02/2012,3.10,3.05,3.16,3.28
02/22/2016,1.64,1.54,1.80,2.03
05/10/2004,1.98,1.93,2.04,2.14
03/17/2014,3.65,3.60,3.74,3.88
04/02/2001,1.53,1.49,1.61,1.72
05/04/2009,2.11,2.06,2.17,2.28
02/12/2001,1.52,1.47,1.59,1.69
09/22/2008,3.64,3.59,3.71,3.82
02/19/2001,1.51,1.47,1.58,1.69
02/23/2015,2.22,2.15,2.32,2.47
08/18/2003,1.65,1.61,1.72,1.82
10/03/2016,2.26,2.15,2.42,2.68
08/21/2006,3.04,3.00,3.10,3.21
03/06/2017,2.29,2.18,2.46,2.73
06/06/2016,2.34,2.24,2.50,2.75
11/17/2008,2.04,2.00,2.11,2.22
07/13/2015,2.76,2.68,2.88,3.07
07/21/2014,3.66,3.59,3.76,3.90
02/13/2017,2.25,2.14,2.42,2.69
08/26/2002,1.48,1.43,1.54,1.65
10/23/2000,1.62,1.58,1.69,1.80
04/21/2008,3.46,3.41,3.53,3.64
10/25/2010,2.75,2.70,2.82,2.93
06/14/2010,2.67,2.63,2.74,2.85
04/30/2001,1.68,1.64,1.75,1.86
07/22/2002,1.50,1.45,1.58,1.68
10/10/2005,2.89,2.84,2.96,3.06
05/21/2018,2.90,2.80,3.06,3.34
01/04/2016,1.94,1.84,2.10,2.33
09/10/2018,2.94,2.83,3.08,3.38
11/26/2001,1.16,1.12,1.23,1.33
12/07/2015,1.98,1.88,2.13,2.36
10/06/2008,3.48,3.44,3.56,3.66
03/26/2012,3.75,3.70,3.82,3.93
04/20/2009,2.07,2.02,2.14,2.25
09/08/2003,1.74,1.69,1.80,1.90
04/22/2002,1.42,1.38,1.48,1.59
02/16/2009,1.91,1.86,1.97,2.08
07/28/2014,3.65,3.59,3.75,3.90
04/29/2019,2.86,2.75,3.02,3.30
09/16/2002,1.45,1.41,1.51,1.62
12/22/2003,1.50,1.46,1.57,1.67
11/03/2008,2.44,2.40,2.51,2.62
03/10/2008,3.11,3.06,3.18,3.29
01/01/2007,2.21,2.17,2.28,2.38
06/12/2017,2.42,2.31,2.58,2.85
11/11/2013,3.24,3.18,3.33,3.47
03/10/2003,1.68,1.64,1.75,1.86
05/16/2011,3.83,3.78,3.90,4.00
05/21/2007,3.36,3.31,3.43,3.55
10/14/2013,3.43,3.38,3.52,3.66
09/18/2006,2.78,2.74,2.85,2.95
11/26/2012,3.44,3.39,3.50,3.62
09/20/2010,2.79,2.75,2.86,2.97
08/17/2009,2.58,2.54,2.65,2.76
11/02/2009,2.64,2.59,2.71,2.81
07/21/2008,4.06,4.01,4.13,4.24
08/14/2006,3.07,3.03,3.14,3.23
12/14/2015,1.95,1.85,2.10,2.33
03/29/2010,2.72,2.68,2.79,2.90
03/12/2018,2.48,2.37,2.64,2.92
08/13/2001,1.38,1.34,1.45,1.56
05/08/2006,2.86,2.82,2.93,3.03
01/30/2012,3.03,2.99,3.10,3.21
08/21/2017,2.40,2.29,2.57,2.86
10/25/2004,2.02,1.98,2.07,2.17
12/24/2012,3.11,3.06,3.18,3.30
03/05/2001,1.48,1.44,1.56,1.66
10/03/2011,3.50,3.45,3.57,3.68
03/23/2015,2.28,2.20,2.38,2.56
01/31/2011,3.01,2.97,3.08,3.19
09/06/2004,1.88,1.84,1.95,2.05
01/22/2007,2.14,2.10,2.20,2.30
07/24/2006,2.99,2.95,3.06,3.15
09/17/2018,2.98,2.87,3.13,3.43
10/27/2008,2.69,2.64,2.76,2.86
10/29/2007,2.85,2.81,2.92,3.03
02/24/2014,3.51,3.45,3.60,3.75
11/05/2018,2.93,2.82,3.09,3.38
10/29/2012,3.60,3.56,3.68,3.79
12/31/2018,2.35,2.24,2.54,2.78
07/03/2000,1.70,1.66,1.78,1.88
10/07/2013,3.47,3.41,3.56,3.70
01/19/2015,1.93,1.87,2.04,2.19
06/06/2005,2.13,2.08,2.19,2.30
08/31/2015,2.86,2.77,3.00,3.21
08/10/2009,2.58,2.54,2.65,2.76
06/09/2014,3.51,3.45,3.61,3.76
04/10/2017,2.37,2.27,2.53,2.79
03/08/2010,2.68,2.64,2.75,2.86
09/11/2006,2.88,2.84,2.95,3.04
08/11/2008,3.89,3.85,3.96,4.07
03/16/2015,2.28,2.22,2.39,2.56
10/15/2012,3.75,3.70,3.82,3.93
06/27/2011,3.60,3.55,3.67,3.78
02/28/2005,1.94,1.90,2.00,2.10
04/19/2004,1.88,1.84,1.95,2.05
09/24/2012,3.79,3.74,3.86,3.97
12/31/2001,1.11,1.07,1.18,1.29
01/19/2004,1.55,1.51,1.62,1.72
11/07/2011,3.50,3.46,3.57,3.69
12/20/2004,1.84,1.80,1.91,2.01
06/16/2003,1.54,1.50,1.61,1.70
07/04/2011,3.54,3.49,3.61,3.72
09/12/2011,3.60,3.55,3.66,3.78
09/09/2002,1.46,1.42,1.52,1.63
01/16/2017,2.35,2.24,2.51,2.78
07/28/2008,4.00,3.95,4.07,4.18
12/28/2015,1.95,1.86,2.11,2.34
06/17/2002,1.39,1.35,1.46,1.56
01/12/2004,1.52,1.48,1.60,1.69
12/18/2017,2.55,2.44,2.72,3.00
09/13/2004,1.87,1.83,1.94,2.04
11/29/2010,2.71,2.67,2.78,2.89
11/28/2005,2.25,2.21,2.32,2.42
07/02/2018,2.89,2.79,3.04,3.32
08/29/2016,2.29,2.19,2.44,2.70
02/02/2015,1.94,1.87,2.04,2.20
03/06/2006,2.33,2.29,2.40,2.50
06/30/2008,4.00,3.96,4.07,4.18
09/01/2003,1.75,1.71,1.82,1.92
08/13/2018,2.84,2.73,2.99,3.29
03/28/2016,2.05,1.95,2.21,2.45
07/07/2008,4.03,3.99,4.10,4.22
12/18/2006,2.21,2.17,2.28,2.38
06/13/2005,2.14,2.09,2.20,2.31
08/03/2015,2.86,2.78,2.98,3.18
05/14/2012,3.84,3.79,3.91,4.01
05/04/2015,2.54,2.47,2.65,2.82
04/20/2015,2.41,2.34,2.52,2.70
09/29/2014,3.53,3.46,3.63,3.78
10/30/2000,1.63,1.59,1.71,1.81
01/13/2003,1.50,1.46,1.56,1.68
09/21/2009,2.48,2.43,2.55,2.65
04/21/2014,3.58,3.52,3.66,3.81
07/23/2007,3.11,3.07,3.18,3.28
10/11/2004,1.98,1.93,2.05,2.14
05/28/2007,3.36,3.31,3.43,3.55
11/29/2004,1.94,1.90,2.00,2.10
08/19/2002,1.48,1.44,1.55,1.66
02/09/2009,1.88,1.83,1.94,2.05
09/20/2004,1.88,1.84,1.95,2.06
06/27/2005,2.18,2.14,2.24,2.35
08/25/2008,3.78,3.73,3.85,3.96
05/13/2002,1.43,1.38,1.49,1.60
12/29/2008,1.58,1.54,1.65,1.76
04/24/2017,2.44,2.33,2.60,2.86
12/27/2010,2.83,2.78,2.90,3.01
09/29/2003,1.61,1.57,1.68,1.78
08/11/2003,1.62,1.58,1.69,1.79
06/25/2018,2.88,2.77,3.04,3.34
04/28/2014,3.57,3.51,3.66,3.81
01/21/2002,1.16,1.12,1.23,1.34
12/25/2000,1.48,1.44,1.56,1.65
06/04/2018,2.97,2.86,3.13,3.42
02/16/2004,1.60,1.55,1.66,1.76
02/20/2012,3.13,3.08,3.20,3.31
09/13/2010,2.80,2.76,2.87,2.98
08/10/2015,2.84,2.76,2.97,3.17
12/12/2011,3.27,3.22,3.34,3.45
07/14/2003,1.50,1.46,1.56,1.66
10/30/2017,2.56,2.44,2.72,3.00
08/06/2018,2.84,2.73,2.99,3.30
03/31/2003,1.67,1.62,1.73,1.84
01/22/2001,1.49,1.45,1.56,1.68
01/20/2014,3.25,3.19,3.33,3.48
03/14/2016,2.00,1.90,2.16,2.39
03/04/2002,1.19,1.14,1.26,1.37
03/29/2004,1.80,1.76,1.87,1.96
11/27/2000,1.58,1.54,1.66,1.76
04/04/2016,2.05,1.95,2.20,2.44
04/23/2012,3.93,3.88,4.00,4.10
07/10/2017,2.31,2.20,2.47,2.74
05/06/2002,1.44,1.40,1.50,1.61
09/14/2009,2.50,2.46,2.58,2.68
02/01/2016,1.78,1.68,1.93,2.17
